Nâng cấp bắt đầu: 12:01:16_26-10-2025
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/moveimg.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/renamefolder.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/rotateimg.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/upload.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/zalo/functions.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/zalo/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/zalo/main.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file admin/zalo/settings.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file api.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/css/rss.xsl | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/LICENSE.md | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/ckeditor.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/ckeditor.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/en.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/fr.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/ru.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/language/vi.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.callback.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.error.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/editors/ckeditor5-classic/nv.upload.success.php | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/DOMPurify/purify2.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/DOMPurify/purify3.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/admin.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/chart/chart.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/global.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/highlight/github.min.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/highlight/highlight.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/highlight/index.html | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/debugger.css | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/debugger.js | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/altText_add.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/altText_done.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/annotation-paperclip.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/annotation-pushpin.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/cursor-editorFreeText.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/cursor-editorInk.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/findbarButton-next.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/findbarButton-previous.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/gv-toolbarButton-download.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/gv-toolbarButton-openinapp.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-documentProperties.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-firstPage.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-handTool.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-lastPage.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-rotateCcw.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-rotateCw.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollHorizontal.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollPage.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollVertical.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollWrapped.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-selectTool.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadEven.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadNone.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadOdd.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-bookmark.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-currentOutlineItem.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-download.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-editorFreeText.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-editorInk.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-editorStamp.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-menuArrow.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-openFile.svg | SUCCESS
12:03:00_26-10-2025 | ::1 | Di chuyển file assets/js/pdf.js/images/toolbarButton-pageDown.svg | SUCCESS
